* 8069ca2	(2026-03-15 13:09:51 +0800) IF_ID总线完成
* 70eebd9	(2026-03-14 18:23:38 +0800) 进入B1，准备添加内部的存储器
* 1164f4f	(2026-03-13 23:10:46 +0800) 小改
* b122416	(2026-03-13 17:14:12 +0800) 完成了ID的重构
* 16c969b	(2026-03-13 14:35:42 +0800) 对比综合，准备优化
* 916714e	(2026-03-12 23:11:15 +0800) 综合完成
* e321a11	(2026-03-12 22:55:54 +0800) 开始综合
* ddbcb2f	(2026-03-12 21:42:46 +0800) 重构完成！
* 388c4d2	(2026-03-12 21:33:21 +0800) 重构完成并通过了一般性测试，但是RT-thread有bug
* 5e71a66	(2026-03-11 22:55:56 +0800) 重构状态机
* 69cf6b7	(2026-03-10 19:08:19 +0800) 进行了部分的重构
* ff2eace	(2026-03-09 14:00:11 +0800) 进一步
* e5f095c	(2026-03-09 13:54:55 +0800) 架构图
* db778a4	(2026-03-08 14:45:34 +0800) 综合比较完成
* 7184d79	(2026-03-08 14:31:37 +0800) 是AI+，目前的最优解
* bbde7fd	(2026-03-08 14:30:55 +0800) A+IC结果
* 073fee9	(2026-03-08 13:29:24 +0800) I+优化功耗
* 8c1a511	(2026-03-08 13:08:50 +0800) 补完了优化日志
* 281a42b	(2026-03-08 12:25:12 +0800) 综合优化效果明显
* c0f31c4	(2026-03-08 11:39:10 +0800) 进行了拆分，还是不如第一版
* 2537f6e	(2026-03-08 10:36:47 +0800) 切换回了第一版本，接下来试着拆分ALU
* 790f6e9	(2026-03-08 09:49:13 +0800) 横批：用第一版
* e9eb641	(2026-03-07 22:58:07 +0800) todo:进一步综合
* 5730968	(2026-03-07 18:00:10 +0800) 完成了RT-thread的3端测试
* 0273ed5	(2026-03-07 17:22:25 +0800) 解决了npc的输出问题，原本可能存在大量的输出卡在stdout里面，进而导致不输出甚至直接卡死的问题
* 589b561	(2026-03-06 22:52:13 +0800) mcycle会在ret的时候被清零，有待检查
* 9b48bbf	(2026-03-06 16:43:51 +0800) 完成了综合
* 0c459ac	(2026-03-06 15:19:43 +0800) ALU综合比较，整整大了一倍
* 23c1460	(2026-03-06 15:03:28 +0800) 日志
*   253f556	(2026-03-06 14:57:04 +0800) Merge branch 'pa4_050' into tracer-ysyx
|\  
| * 489d1e2	(2026-03-06 14:56:00 +0800) 能够启动RT-Thread了
| * f760e23	(2026-03-05 15:30:03 +0800) 运行成功，我printf居然还没有实现long的，也是补上了
| *   f11475a	(2026-03-05 13:49:48 +0800) Merge commit '140a71ea1a14e1ec38a957959491ac1ce9c836d0' as 'rt-thread-am'
| |\  
| | * 140a71e	(2026-03-05 13:49:48 +0800) Squashed 'rt-thread-am/' content from commit 72ba231
| * fde52fd	(2026-03-05 13:18:56 +0800) 完成了kcontext和自陷后的切换处置
|/  
*   89a07fe	(2026-03-04 22:08:14 +0800) Merge branch 'pa3_1' into tracer-ysyx
|\  
| * 3c3b6d2	(2026-03-04 22:07:48 +0800) pa3_1完成了
| * c318f22	(2026-03-04 20:16:54 +0800) 发现了一个defftest的异常，yield test的时候，相差1
| * 128bcdb	(2026-03-04 15:45:27 +0800) 成功实现了识别自陷事件并返回
| * 8128b3e	(2026-03-04 15:32:49 +0800) 基本修复了问题
| * 33c8582	(2026-03-02 22:56:34 +0800) 实现了跳转
| * 85b95a9	(2026-03-02 20:49:15 +0800) 未能理解context，接下来需要理解再运用
| * 1dc6457	(2026-03-02 19:52:13 +0800) NPC整改完成
| * 465f7d4	(2026-03-02 15:18:21 +0800) 测试完成，提供了32M的内存，可以运行超级玛丽（之前的内存太小了）
| * 5196b43	(2026-03-02 14:57:28 +0800) 硬件验证完成
| * 0c8152c	(2026-03-02 09:51:23 +0800) 基本完成sv重构，接下来重构驱动
| * 5c78a9d	(2026-03-01 23:00:08 +0800) 开始重构，完成了一半
| * a7985a0	(2026-03-01 16:56:05 +0800) 综合了ALU，确实是有减少，8条分支共被综合成了4个alu cell
|/  
* ef3d8fd	(2026-02-28 19:16:34 +0800) before starting pa3
* f7f1818	(2026-02-28 19:14:01 +0800) 改了makefile，使得am-test在跑i的时候就不会运行m的测试了
* d15cd86	(2026-02-27 21:43:30 +0800) 测试完成
* c2d21cd	(2026-02-27 21:43:18 +0800) rv32i完成
* ed55f14	(2026-02-26 18:10:40 +0800) 还剩下aluOp
* 731d569	(2026-02-26 15:20:32 +0800) 累了毁灭吧。现在卡在LSU，需要设计其掩码和获取的分析。
* 4d60582	(2026-02-25 20:44:04 +0800) 推送一手
* 3a6f394	(2026-02-25 20:42:48 +0800) 准备开始搞rv32i，明天有别的事
* ef0de35	(2026-02-25 19:52:29 +0800) 完成了difftest
* a97df5d	(2026-02-25 18:00:12 +0800) 分析得出结论：difftest不能用于0开始的程序
* d6cab3c	(2026-02-25 17:44:50 +0800) difftest初步加载成功
* bf675f3	(2026-02-25 07:29:12 +0800) ftrace完成，昨晚的问题只是我在处理之前的问题的时候设置了一个<10，忘了解除了
* 0c74dd6	(2026-02-24 23:27:19 +0800) 小修，实现了ftrace，但还有一些需要测试
* 6fc3268	(2026-02-24 21:44:48 +0800) ftrace还是有问题
* 49153a5	(2026-02-24 18:18:01 +0800) 完成了trace的初始化
* 69ec9ce	(2026-02-24 07:59:02 +0800) 重构了makefile
* ab4abf3	(2026-02-23 22:39:38 +0800) 可以开始搞sdb了
* b2b276d	(2026-02-23 22:24:31 +0800) 重启之后就好了，gdb可以正常编译了，又通过了两组测试
* 0367bcd	(2026-02-23 22:13:00 +0800) 重写minirv，通过了cpu-test，还存在gdb的问题
* 9745499	(2026-02-23 18:49:01 +0800) 进一步重构，同时还修复了make val的潜在bug
* 82cdfd4	(2026-02-23 17:54:30 +0800) 重构了npc的cpp驱动
*   84d5658	(2026-02-23 11:41:09 +0800) Merge branch 'pa2' into tracer-ysyx
|\  
| * 679f471	(2026-02-23 11:40:14 +0800) 完成了DiffTest,pa2到此结束
| * 413170c	(2026-02-23 09:34:07 +0800) 添加了printf的测试，进行了完善
| * 4de7aa1	(2026-02-23 07:52:53 +0800) 小修：实现了v和sv的通用
| * 0060104	(2026-02-22 22:35:52 +0800) 完成了更多的测试
| * c57a69b	(2026-02-22 19:20:01 +0800) 第二类第一个完成
| * 61d6881	(2026-02-22 17:58:11 +0800) 第一类完成
| * aecc6e0	(2026-02-22 15:17:46 +0800) 进行了原版、N、S三版的minirv，完成cpu-tests的10次的平均用时分别是7.7499	6.8389	6.7674
| * fabf47a	(2026-02-22 12:48:13 +0800) 完成ftrace，修改了错误的处理
| * 963f50f	(2026-02-21 23:15:27 +0800) 开始尝试 elf.h
|/  
* de0794d	(2026-02-21 18:48:46 +0800) 重写了一个sv的minirv，挺好用的
* 7b431ce	(2026-02-21 14:31:36 +0800) 推送，然后准备回到pa2
